row,col,val
Acidovorax_D,Acidovorax_D,1.0
Acinetobacter,Acidovorax_D,0.6078103864091545
Aliarcobacter,Acidovorax_D,0.4096352148271866
Mycolicibacterium,Acidovorax_D,-0.6910364883259787
Moraxella_A,Acidovorax_D,0.7254312175507083
Flavobacterium,Acidovorax_D,0.4185544415324787
Pseudomonas_E,Acidovorax_D,-0.11422039044505249
Aeromonas,Acidovorax_D,0.3659323895135047
Acidovorax_B,Acidovorax_D,0.2868376492273349
Rivicola,Acidovorax_D,0.39771115695729775
Bacteroides,Acidovorax_D,0.39971240632947536
Microthrix,Acidovorax_D,-0.7054783088004014
Rhodococcus,Acidovorax_D,-0.5448153015458216
Cloacibacterium,Acidovorax_D,0.5647003387929184
Aquabacterium,Acidovorax_D,-0.1223030658027036
Dechloromonas,Acidovorax_D,0.4302920348879687
Bacteroides_B,Acidovorax_D,0.421213209156588
Prevotella,Acidovorax_D,0.43586697472542113
Blautia_A,Acidovorax_D,0.5367033522849719
Streptomyces,Acidovorax_D,-0.6257020344462505
Thauera,Acidovorax_D,0.08838358006071652
Faecalibacterium,Acidovorax_D,0.47685171226971684
Rhodoferax,Acidovorax_D,-0.07955498607049202
Lactococcus,Acidovorax_D,0.11961479128886342
Tolumonas,Acidovorax_D,0.42686392614890595
Hydrogenophaga,Acidovorax_D,-0.5082832004040119
Agathobacter,Acidovorax_D,0.4571556666681646
Acidovorax_E,Acidovorax_D,-0.3100580056284429
Paracoccus,Acidovorax_D,0.7161696688178495
Sphaerotilus,Acidovorax_D,0.22555620379758992
Acidovorax_D,Acinetobacter,0.6078103864091545
Acinetobacter,Acinetobacter,1.0
Aliarcobacter,Acinetobacter,0.4380722232998464
Mycolicibacterium,Acinetobacter,-0.7690032948456619
Moraxella_A,Acinetobacter,0.3772549912506565
Flavobacterium,Acinetobacter,0.7062128261350042
Pseudomonas_E,Acinetobacter,-0.01611000475620313
Aeromonas,Acinetobacter,0.400573539414328
Acidovorax_B,Acinetobacter,0.8588687628700343
Rivicola,Acinetobacter,0.1609045188643395
Bacteroides,Acinetobacter,0.5006467689794902
Microthrix,Acinetobacter,-0.6952107006512659
Rhodococcus,Acinetobacter,-0.6794175799986942
Cloacibacterium,Acinetobacter,0.08916880700299518
Aquabacterium,Acinetobacter,-0.11168050294691231
Dechloromonas,Acinetobacter,0.02198050004003439
Bacteroides_B,Acinetobacter,0.6016365520460304
Prevotella,Acinetobacter,0.6743090407061159
Blautia_A,Acinetobacter,0.8553701846842394
Streptomyces,Acinetobacter,-0.7113012426418985
Thauera,Acinetobacter,-0.029110815454130034
Faecalibacterium,Acinetobacter,0.81581957142841
Rhodoferax,Acinetobacter,0.1690743779285307
Lactococcus,Acinetobacter,0.7231856306077368
Tolumonas,Acinetobacter,0.2043885605768688
Hydrogenophaga,Acinetobacter,-0.3830775842564365
Agathobacter,Acinetobacter,0.7639469800509335
Acidovorax_E,Acinetobacter,-0.4717675944707253
Paracoccus,Acinetobacter,0.6708356872412211
Sphaerotilus,Acinetobacter,-0.05254115674461001
Acidovorax_D,Aliarcobacter,0.4096352148271866
Acinetobacter,Aliarcobacter,0.4380722232998464
Aliarcobacter,Aliarcobacter,1.0
Mycolicibacterium,Aliarcobacter,-0.6402103165077242
Moraxella_A,Aliarcobacter,0.6848009128709094
Flavobacterium,Aliarcobacter,0.5743838072415373
Pseudomonas_E,Aliarcobacter,-0.32757698528892865
Aeromonas,Aliarcobacter,0.9618011017342796
Acidovorax_B,Aliarcobacter,0.1481085718117195
Rivicola,Aliarcobacter,0.768573266147742
Bacteroides,Aliarcobacter,0.8684868157775076
Microthrix,Aliarcobacter,-0.6895818312389576
Rhodococcus,Aliarcobacter,-0.6314041247722899
Cloacibacterium,Aliarcobacter,0.6749181438776791
Aquabacterium,Aliarcobacter,-0.36565791575847895
Dechloromonas,Aliarcobacter,0.6174695082063018
Bacteroides_B,Aliarcobacter,0.765778175921861
Prevotella,Aliarcobacter,0.719398427228407
Blautia_A,Aliarcobacter,0.6231767950740387
Streptomyces,Aliarcobacter,-0.7053144964639582
Thauera,Aliarcobacter,0.2836312400970083
Faecalibacterium,Aliarcobacter,0.6484650559686644
Rhodoferax,Aliarcobacter,-0.4042458977779219
Lactococcus,Aliarcobacter,0.2067456997902866
Tolumonas,Aliarcobacter,0.9239241439535688
Hydrogenophaga,Aliarcobacter,-0.7525792990385114
Agathobacter,Aliarcobacter,0.6192937670265516
Acidovorax_E,Aliarcobacter,-0.4248968774625785
Paracoccus,Aliarcobacter,0.17302375317531718
Sphaerotilus,Aliarcobacter,0.2632077272228748
Acidovorax_D,Mycolicibacterium,-0.6910364883259787
Acinetobacter,Mycolicibacterium,-0.7690032948456619
Aliarcobacter,Mycolicibacterium,-0.6402103165077242
Mycolicibacterium,Mycolicibacterium,1.0
Moraxella_A,Mycolicibacterium,-0.6150139225595151
Flavobacterium,Mycolicibacterium,-0.7041317055261984
Pseudomonas_E,Mycolicibacterium,-0.15732892522398448
Aeromonas,Mycolicibacterium,-0.6204600161789152
Acidovorax_B,Mycolicibacterium,-0.44012889754589124
Rivicola,Mycolicibacterium,-0.5333719074476697
Bacteroides,Mycolicibacterium,-0.6846401761824528
Microthrix,Mycolicibacterium,0.8385258583142059
Rhodococcus,Mycolicibacterium,0.6713661141781546
Cloacibacterium,Mycolicibacterium,-0.47274937282754503
Aquabacterium,Mycolicibacterium,-0.09212230423050986
Dechloromonas,Mycolicibacterium,-0.3829771294041832
Bacteroides_B,Mycolicibacterium,-0.6866934774789198
Prevotella,Mycolicibacterium,-0.6842680887517101
Blautia_A,Mycolicibacterium,-0.7380349773312767
Streptomyces,Mycolicibacterium,0.7595734080820401
Thauera,Mycolicibacterium,-0.16454490496287622
Faecalibacterium,Mycolicibacterium,-0.7293681058263699
Rhodoferax,Mycolicibacterium,-0.19715527713498388
Lactococcus,Mycolicibacterium,-0.4018893771668754
Tolumonas,Mycolicibacterium,-0.5509961420511106
Hydrogenophaga,Mycolicibacterium,0.7692052803014242
Agathobacter,Mycolicibacterium,-0.7145781421636185
Acidovorax_E,Mycolicibacterium,0.42777284399822496
Paracoccus,Mycolicibacterium,-0.7895762612074233
Sphaerotilus,Mycolicibacterium,-0.18335353206270213
Acidovorax_D,Moraxella_A,0.7254312175507083
Acinetobacter,Moraxella_A,0.3772549912506565
Aliarcobacter,Moraxella_A,0.6848009128709094
Mycolicibacterium,Moraxella_A,-0.6150139225595151
Moraxella_A,Moraxella_A,1.0
Flavobacterium,Moraxella_A,0.2700848993001548
Pseudomonas_E,Moraxella_A,-0.3474882969598954
Aeromonas,Moraxella_A,0.6822128117119726
Acidovorax_B,Moraxella_A,0.06542283121325296
Rivicola,Moraxella_A,0.7309814090348201
Bacteroides,Moraxella_A,0.575728543498624
Microthrix,Moraxella_A,-0.6935317633954996
Rhodococcus,Moraxella_A,-0.5880111324711753
Cloacibacterium,Moraxella_A,0.8501878248887644
Aquabacterium,Moraxella_A,-0.35162583876709574
Dechloromonas,Moraxella_A,0.752949169798255
Bacteroides_B,Moraxella_A,0.477563824122911
Prevotella,Moraxella_A,0.42769449714794994
Blautia_A,Moraxella_A,0.5444617499079745
Streptomyces,Moraxella_A,-0.6060742839474086
Thauera,Moraxella_A,0.42447806865696946
Faecalibacterium,Moraxella_A,0.48704396619932827
Rhodoferax,Moraxella_A,-0.47403968834652266
Lactococcus,Moraxella_A,-0.038968801880778066
Tolumonas,Moraxella_A,0.7357742277657223
Hydrogenophaga,Moraxella_A,-0.8256525897769758
Agathobacter,Moraxella_A,0.5020847000234074
Acidovorax_E,Moraxella_A,-0.41258218038561884
Paracoccus,Moraxella_A,0.5366487711931661
Sphaerotilus,Moraxella_A,0.337048341760424
Acidovorax_D,Flavobacterium,0.4185544415324787
Acinetobacter,Flavobacterium,0.7062128261350042
Aliarcobacter,Flavobacterium,0.5743838072415373
Mycolicibacterium,Flavobacterium,-0.7041317055261984
Moraxella_A,Flavobacterium,0.2700848993001548
Flavobacterium,Flavobacterium,1.0
Pseudomonas_E,Flavobacterium,-0.050026944979117006
Aeromonas,Flavobacterium,0.5893290158596918
Acidovorax_B,Flavobacterium,0.5079507576757737
Rivicola,Flavobacterium,0.3031154863772587
Bacteroides,Flavobacterium,0.7868460306961219
Microthrix,Flavobacterium,-0.6164999937511846
Rhodococcus,Flavobacterium,-0.6815145851456694
Cloacibacterium,Flavobacterium,0.12401953681570692
Aquabacterium,Flavobacterium,-0.11450122605622921
Dechloromonas,Flavobacterium,0.18475379689139504
Bacteroides_B,Flavobacterium,0.8762948121703008
Prevotella,Flavobacterium,0.839157881423527
Blautia_A,Flavobacterium,0.7626725896188715
Streptomyces,Flavobacterium,-0.6563405583725669
Thauera,Flavobacterium,0.024469007252524856
Faecalibacterium,Flavobacterium,0.8183505647250736
Rhodoferax,Flavobacterium,0.14343498346013836
Lactococcus,Flavobacterium,0.6352510832562408
Tolumonas,Flavobacterium,0.4386240700595558
Hydrogenophaga,Flavobacterium,-0.40956025630633497
Agathobacter,Flavobacterium,0.8160743648451733
Acidovorax_E,Flavobacterium,-0.44345330512678627
Paracoccus,Flavobacterium,0.4263688417665704
Sphaerotilus,Flavobacterium,0.14409707299582605
Acidovorax_D,Pseudomonas_E,-0.11422039044505249
Acinetobacter,Pseudomonas_E,-0.01611000475620313
Aliarcobacter,Pseudomonas_E,-0.32757698528892865
Mycolicibacterium,Pseudomonas_E,-0.15732892522398448
Moraxella_A,Pseudomonas_E,-0.3474882969598954
Flavobacterium,Pseudomonas_E,-0.050026944979117006
Pseudomonas_E,Pseudomonas_E,1.0
Aeromonas,Pseudomonas_E,-0.32029041019937093
Acidovorax_B,Pseudomonas_E,-0.15836635170480443
Rivicola,Pseudomonas_E,-0.2691141411093611
Bacteroides,Pseudomonas_E,-0.3450713538613832
Microthrix,Pseudomonas_E,-0.17335342583266658
Rhodococcus,Pseudomonas_E,0.24397229545228305
Cloacibacterium,Pseudomonas_E,-0.2714546552302185
Aquabacterium,Pseudomonas_E,0.9904668476089399
Dechloromonas,Pseudomonas_E,-0.4271265184013743
Bacteroides_B,Pseudomonas_E,-0.33763323871125983
Prevotella,Pseudomonas_E,-0.34980883763296544
Blautia_A,Pseudomonas_E,-0.34354735928946306
Streptomyces,Pseudomonas_E,-0.00963257360335564
Thauera,Pseudomonas_E,-0.3926897537305681
Faecalibacterium,Pseudomonas_E,-0.33556549370384575
Rhodoferax,Pseudomonas_E,0.913667372819612
Lactococcus,Pseudomonas_E,-0.1526620793518533
Tolumonas,Pseudomonas_E,-0.2997503974288413
Hydrogenophaga,Pseudomonas_E,0.009549734392930507
Agathobacter,Pseudomonas_E,-0.3345547698810098
Acidovorax_E,Pseudomonas_E,-0.009410473951719222
Paracoccus,Pseudomonas_E,0.3059694830719768
Sphaerotilus,Pseudomonas_E,-0.10041962096443885
Acidovorax_D,Aeromonas,0.3659323895135047
Acinetobacter,Aeromonas,0.400573539414328
Aliarcobacter,Aeromonas,0.9618011017342796
Mycolicibacterium,Aeromonas,-0.6204600161789152
Moraxella_A,Aeromonas,0.6822128117119726
Flavobacterium,Aeromonas,0.5893290158596918
Pseudomonas_E,Aeromonas,-0.32029041019937093
Aeromonas,Aeromonas,1.0
Acidovorax_B,Aeromonas,0.13400605944076155
Rivicola,Aeromonas,0.7473218411630208
Bacteroides,Aeromonas,0.8687632103951501
Microthrix,Aeromonas,-0.6668094908268055
Rhodococcus,Aeromonas,-0.6098406987443857
Cloacibacterium,Aeromonas,0.6631913606370664
Aquabacterium,Aeromonas,-0.3589273512787223
Dechloromonas,Aeromonas,0.6193843531628127
Bacteroides_B,Aeromonas,0.748872378372299
Prevotella,Aeromonas,0.6773230955599987
Blautia_A,Aeromonas,0.5805946025416471
Streptomyces,Aeromonas,-0.6792306892974305
Thauera,Aeromonas,0.3136443680915913
Faecalibacterium,Aeromonas,0.6132103867028968
Rhodoferax,Aeromonas,-0.39078095000353796
Lactococcus,Aeromonas,0.24026989362120177
Tolumonas,Aeromonas,0.9214274000248902
Hydrogenophaga,Aeromonas,-0.7342558711968774
Agathobacter,Aeromonas,0.5861511531952537
Acidovorax_E,Aeromonas,-0.40494547198937475
Paracoccus,Aeromonas,0.1937887981621925
Sphaerotilus,Aeromonas,0.2319975264214485
Acidovorax_D,Acidovorax_B,0.2868376492273349
Acinetobacter,Acidovorax_B,0.8588687628700343
Aliarcobacter,Acidovorax_B,0.1481085718117195
Mycolicibacterium,Acidovorax_B,-0.44012889754589124
Moraxella_A,Acidovorax_B,0.06542283121325296
Flavobacterium,Acidovorax_B,0.5079507576757737
Pseudomonas_E,Acidovorax_B,-0.15836635170480443
Aeromonas,Acidovorax_B,0.13400605944076155
Acidovorax_B,Acidovorax_B,1.0
Rivicola,Acidovorax_B,-0.10542861781477315
Bacteroides,Acidovorax_B,0.2789111858572563
Microthrix,Acidovorax_B,-0.30399072990422116
Rhodococcus,Acidovorax_B,-0.4649954395533048
Cloacibacterium,Acidovorax_B,-0.22907906898877747
Aquabacterium,Acidovorax_B,-0.26195040640886436
Dechloromonas,Acidovorax_B,-0.1934908239811958
Bacteroides_B,Acidovorax_B,0.41768627864394386
Prevotella,Acidovorax_B,0.5309501404541919
Blautia_A,Acidovorax_B,0.7446632731645333
Streptomyces,Acidovorax_B,-0.4313054811794273
Thauera,Acidovorax_B,-0.07126842860733912
Faecalibacterium,Acidovorax_B,0.6935182522870068
Rhodoferax,Acidovorax_B,0.11548144797006311
Lactococcus,Acidovorax_B,0.9041759208326032
Tolumonas,Acidovorax_B,-0.1079821128216726
Hydrogenophaga,Acidovorax_B,-0.02069230347849516
Agathobacter,Acidovorax_B,0.6405689193866645
Acidovorax_E,Acidovorax_B,-0.26995254524348333
Paracoccus,Acidovorax_B,0.4050471578147993
Sphaerotilus,Acidovorax_B,-0.21234152901397113
Acidovorax_D,Rivicola,0.39771115695729775
Acinetobacter,Rivicola,0.1609045188643395
Aliarcobacter,Rivicola,0.768573266147742
Mycolicibacterium,Rivicola,-0.5333719074476697
Moraxella_A,Rivicola,0.7309814090348201
Flavobacterium,Rivicola,0.3031154863772587
Pseudomonas_E,Rivicola,-0.2691141411093611
Aeromonas,Rivicola,0.7473218411630208
Acidovorax_B,Rivicola,-0.10542861781477315
Rivicola,Rivicola,1.0
Bacteroides,Rivicola,0.7350011455050834
Microthrix,Rivicola,-0.6070270411566787
Rhodococcus,Rivicola,-0.4857593139889376
Cloacibacterium,Rivicola,0.8864622414242518
Aquabacterium,Rivicola,-0.2976174873010465
Dechloromonas,Rivicola,0.7892344825260503
Bacteroides_B,Rivicola,0.599952770233134
Prevotella,Rivicola,0.5016719871752484
Blautia_A,Rivicola,0.44033009167464165
Streptomyces,Rivicola,-0.5667061072387075
Thauera,Rivicola,0.41972275179943824
Faecalibacterium,Rivicola,0.45102477756916864
Rhodoferax,Rivicola,-0.44954538653012477
Lactococcus,Rivicola,-0.09274367333924002
Tolumonas,Rivicola,0.8477618871507651
Hydrogenophaga,Rivicola,-0.800528345158621
Agathobacter,Rivicola,0.4633718810365819
Acidovorax_E,Rivicola,-0.35747063379495786
Paracoccus,Rivicola,0.2283148695667085
Sphaerotilus,Rivicola,0.5807392821505943
Acidovorax_D,Bacteroides,0.39971240632947536
Acinetobacter,Bacteroides,0.5006467689794902
Aliarcobacter,Bacteroides,0.8684868157775076
Mycolicibacterium,Bacteroides,-0.6846401761824528
Moraxella_A,Bacteroides,0.575728543498624
Flavobacterium,Bacteroides,0.7868460306961219
Pseudomonas_E,Bacteroides,-0.3450713538613832
Aeromonas,Bacteroides,0.8687632103951501
Acidovorax_B,Bacteroides,0.2789111858572563
Rivicola,Bacteroides,0.7350011455050834
Bacteroides,Bacteroides,1.0
Microthrix,Bacteroides,-0.6564228657629066
Rhodococcus,Bacteroides,-0.6964527805862253
Cloacibacterium,Bacteroides,0.5534213402687256
Aquabacterium,Bacteroides,-0.3941749169054573
Dechloromonas,Bacteroides,0.5800927360194115
Bacteroides_B,Bacteroides,0.9675398053238973
Prevotella,Bacteroides,0.9085525996507304
Blautia_A,Bacteroides,0.7743742140347172
Streptomyces,Bacteroides,-0.7100739005120311
Thauera,Bacteroides,0.29114728246963745
Faecalibacterium,Bacteroides,0.8298204762959591
Rhodoferax,Bacteroides,-0.29867917130737476
Lactococcus,Bacteroides,0.4220374435836906
Tolumonas,Bacteroides,0.8100021702828977
Hydrogenophaga,Bacteroides,-0.6741141097761728
Agathobacter,Bacteroides,0.8313850949373306
Acidovorax_E,Bacteroides,-0.45071407776681055
Paracoccus,Bacteroides,0.258686475075431
Sphaerotilus,Bacteroides,0.316201529468153
Acidovorax_D,Microthrix,-0.7054783088004014
Acinetobacter,Microthrix,-0.6952107006512659
Aliarcobacter,Microthrix,-0.6895818312389576
Mycolicibacterium,Microthrix,0.8385258583142059
Moraxella_A,Microthrix,-0.6935317633954996
