row,col,val
Burkholderiales,Burkholderiales,1.0
Pseudomonadales,Burkholderiales,0.7128081214282527
Campylobacterales,Burkholderiales,0.13464820378342912
Mycobacteriales,Burkholderiales,-0.7450305672800533
Bacteroidales,Burkholderiales,0.06247750165736844
Enterobacterales,Burkholderiales,0.15944067346129243
Flavobacteriales,Burkholderiales,0.36483425355795784
Lachnospirales,Burkholderiales,0.14057377039802574
Oscillospirales,Burkholderiales,0.13483574062275058
Rhizobiales,Burkholderiales,-0.3087152019847736
Actinomycetales,Burkholderiales,-0.13616270228715072
Lactobacillales,Burkholderiales,0.09162981604798279
Microtrichales,Burkholderiales,-0.8122858960422283
Rhodobacterales,Burkholderiales,0.08501824946294043
Xanthomonadales,Burkholderiales,-0.6238998141452896
Sphingomonadales,Burkholderiales,0.14859836444724073
Streptomycetales,Burkholderiales,-0.4455701302072625
Propionibacteriales,Burkholderiales,0.630967029354608
Caulobacterales,Burkholderiales,-0.10730445473659823
Desulfovibrionales,Burkholderiales,0.2646218084335265
Coriobacteriales,Burkholderiales,0.10788093851189716
Selenomonadales,Burkholderiales,0.2790060596795235
Chitinophagales,Burkholderiales,-0.6631913024628835
Veillonellales,Burkholderiales,0.28108673061786793
Verrucomicrobiales,Burkholderiales,-0.31668701981817404
Streptosporangiales,Burkholderiales,-0.45741700425212756
Nitrospirales,Burkholderiales,-0.5605139574368022
Erysipelotrichales,Burkholderiales,0.10591110634598198
Fusobacteriales,Burkholderiales,0.09559380123462274
Cytophagales,Burkholderiales,-0.6695922826443099
Burkholderiales,Pseudomonadales,0.7128081214282527
Pseudomonadales,Pseudomonadales,1.0
Campylobacterales,Pseudomonadales,-0.23034035260650867
Mycobacteriales,Pseudomonadales,-0.45656290093249313
Bacteroidales,Pseudomonadales,-0.28649554786554843
Enterobacterales,Pseudomonadales,-0.23426933577251854
Flavobacteriales,Pseudomonadales,-0.05433010773469816
Lachnospirales,Pseudomonadales,-0.19330552467866352
Oscillospirales,Pseudomonadales,-0.21155270074184776
Rhizobiales,Pseudomonadales,-0.24236068033609892
Actinomycetales,Pseudomonadales,-0.323059239323692
Lactobacillales,Pseudomonadales,-0.07678162716848085
Microtrichales,Pseudomonadales,-0.5566371896374552
Rhodobacterales,Pseudomonadales,-0.03903801527178819
Xanthomonadales,Pseudomonadales,-0.5518117074510358
Sphingomonadales,Pseudomonadales,0.6721311840237636
Streptomycetales,Pseudomonadales,-0.21935556200355932
Propionibacteriales,Pseudomonadales,0.8547355707705743
Caulobacterales,Pseudomonadales,0.3355936402365767
Desulfovibrionales,Pseudomonadales,-0.26489758925399465
Coriobacteriales,Pseudomonadales,-0.22070044975745065
Selenomonadales,Pseudomonadales,-0.16869634730903185
Chitinophagales,Pseudomonadales,-0.5709495552290028
Veillonellales,Pseudomonadales,-0.12962715785647574
Verrucomicrobiales,Pseudomonadales,-0.540622597202986
Streptosporangiales,Pseudomonadales,-0.23453935090074696
Nitrospirales,Pseudomonadales,-0.4002330591385538
Erysipelotrichales,Pseudomonadales,-0.25460940504346014
Fusobacteriales,Pseudomonadales,-0.2961807514441196
Cytophagales,Pseudomonadales,-0.6132710353288731
Burkholderiales,Campylobacterales,0.13464820378342912
Pseudomonadales,Campylobacterales,-0.23034035260650867
Campylobacterales,Campylobacterales,1.0
Mycobacteriales,Campylobacterales,-0.5911885531060639
Bacteroidales,Campylobacterales,0.789995553079412
Enterobacterales,Campylobacterales,0.9698178622284662
Flavobacteriales,Campylobacterales,0.7968575713281253
Lachnospirales,Campylobacterales,0.5661072729435428
Oscillospirales,Campylobacterales,0.5577199884889356
Rhizobiales,Campylobacterales,-0.6686201476592185
Actinomycetales,Campylobacterales,-0.09987991413408265
Lactobacillales,Campylobacterales,0.32857638613162193
Microtrichales,Campylobacterales,-0.611122716636692
Rhodobacterales,Campylobacterales,-0.2868266118778843
Xanthomonadales,Campylobacterales,-0.48758466131673867
Sphingomonadales,Campylobacterales,-0.7220619811253528
Streptomycetales,Campylobacterales,-0.7831146176610305
Propionibacteriales,Campylobacterales,-0.4480934470421141
Caulobacterales,Campylobacterales,-0.7130188108742695
Desulfovibrionales,Campylobacterales,0.8825065615193043
Coriobacteriales,Campylobacterales,0.5031344820957386
Selenomonadales,Campylobacterales,0.6258791233453629
Chitinophagales,Campylobacterales,-0.5326710273802111
Veillonellales,Campylobacterales,0.6227087949110023
Verrucomicrobiales,Campylobacterales,0.1894052221734786
Streptosporangiales,Campylobacterales,-0.7929491558401848
Nitrospirales,Campylobacterales,-0.6656354713408699
Erysipelotrichales,Campylobacterales,0.6111274254528735
Fusobacteriales,Campylobacterales,0.9159830226933281
Cytophagales,Campylobacterales,-0.4479694699251515
Burkholderiales,Mycobacteriales,-0.7450305672800533
Pseudomonadales,Mycobacteriales,-0.45656290093249313
Campylobacterales,Mycobacteriales,-0.5911885531060639
Mycobacteriales,Mycobacteriales,1.0
Bacteroidales,Mycobacteriales,-0.6518893055784202
Enterobacterales,Mycobacteriales,-0.6016565764923089
Flavobacteriales,Mycobacteriales,-0.7919347915338132
Lachnospirales,Mycobacteriales,-0.6608789371795791
Oscillospirales,Mycobacteriales,-0.6529387309194645
Rhizobiales,Mycobacteriales,0.4843560589629332
Actinomycetales,Mycobacteriales,-0.11873937037015554
Lactobacillales,Mycobacteriales,-0.4911097640914585
Microtrichales,Mycobacteriales,0.8659518980511031
Rhodobacterales,Mycobacteriales,-0.17932730922787363
Xanthomonadales,Mycobacteriales,0.7108786341720842
Sphingomonadales,Mycobacteriales,0.2960684028022413
Streptomycetales,Mycobacteriales,0.8181181966361282
Propionibacteriales,Mycobacteriales,-0.31086871108041836
Caulobacterales,Mycobacteriales,0.3476881153413037
Desulfovibrionales,Mycobacteriales,-0.625528321094386
Coriobacteriales,Mycobacteriales,-0.5997202425665756
Selenomonadales,Mycobacteriales,-0.6415658474172969
Chitinophagales,Mycobacteriales,0.6887312237532475
Veillonellales,Mycobacteriales,-0.665146821512717
Verrucomicrobiales,Mycobacteriales,-0.09443401797971594
Streptosporangiales,Mycobacteriales,0.8078138864619824
Nitrospirales,Mycobacteriales,0.8892528464349784
Erysipelotrichales,Mycobacteriales,-0.636079012839864
Fusobacteriales,Mycobacteriales,-0.6100849408941761
Cytophagales,Mycobacteriales,0.6095324946847824
Burkholderiales,Bacteroidales,0.06247750165736844
Pseudomonadales,Bacteroidales,-0.28649554786554843
Campylobacterales,Bacteroidales,0.789995553079412
Mycobacteriales,Bacteroidales,-0.6518893055784202
Bacteroidales,Bacteroidales,1.0
Enterobacterales,Bacteroidales,0.7956523928308434
Flavobacteriales,Bacteroidales,0.8954159078819742
Lachnospirales,Bacteroidales,0.8583519157343484
Oscillospirales,Bacteroidales,0.881315621344171
Rhizobiales,Bacteroidales,-0.4349921331486985
Actinomycetales,Bacteroidales,0.2956353369775828
Lactobacillales,Bacteroidales,0.5553326711268634
Microtrichales,Bacteroidales,-0.4120400313325515
Rhodobacterales,Bacteroidales,0.09041464253292529
Xanthomonadales,Bacteroidales,-0.3952913314898746
Sphingomonadales,Bacteroidales,-0.7710835130335782
Streptomycetales,Bacteroidales,-0.7270477710537898
Propionibacteriales,Bacteroidales,-0.39040867275288893
Caulobacterales,Bacteroidales,-0.6061208421490222
Desulfovibrionales,Bacteroidales,0.72643910546779
Coriobacteriales,Bacteroidales,0.8072736378898728
Selenomonadales,Bacteroidales,0.7022609108591564
Chitinophagales,Bacteroidales,-0.3141477162421941
Veillonellales,Bacteroidales,0.718633768216968
Verrucomicrobiales,Bacteroidales,0.4511101280093811
Streptosporangiales,Bacteroidales,-0.693220922248933
Nitrospirales,Bacteroidales,-0.6884296402871604
Erysipelotrichales,Bacteroidales,0.8605058223724861
Fusobacteriales,Bacteroidales,0.830463559095238
Cytophagales,Bacteroidales,-0.15410080884019384
Burkholderiales,Enterobacterales,0.15944067346129243
Pseudomonadales,Enterobacterales,-0.23426933577251854
Campylobacterales,Enterobacterales,0.9698178622284662
Mycobacteriales,Enterobacterales,-0.6016565764923089
Bacteroidales,Enterobacterales,0.7956523928308434
Enterobacterales,Enterobacterales,1.0
Flavobacteriales,Enterobacterales,0.8491111617769943
Lachnospirales,Enterobacterales,0.5490585258141927
Oscillospirales,Enterobacterales,0.5461841136088669
Rhizobiales,Enterobacterales,-0.645336456893734
Actinomycetales,Enterobacterales,-0.029661734133483143
Lactobacillales,Enterobacterales,0.34777096007613967
Microtrichales,Enterobacterales,-0.6235722895084004
Rhodobacterales,Enterobacterales,-0.2546312797795183
Xanthomonadales,Enterobacterales,-0.5569162422918341
Sphingomonadales,Enterobacterales,-0.7306919582309004
Streptomycetales,Enterobacterales,-0.7485980288337402
Propionibacteriales,Enterobacterales,-0.3950459663084678
Caulobacterales,Enterobacterales,-0.806342727035996
Desulfovibrionales,Enterobacterales,0.9068171607663509
Coriobacteriales,Enterobacterales,0.4632668229438556
Selenomonadales,Enterobacterales,0.550700321680897
Chitinophagales,Enterobacterales,-0.4836280207645248
Veillonellales,Enterobacterales,0.5757031626489367
Verrucomicrobiales,Enterobacterales,0.1615207887705633
Streptosporangiales,Enterobacterales,-0.7516240059325688
Nitrospirales,Enterobacterales,-0.6386554618852932
Erysipelotrichales,Enterobacterales,0.5873633647369597
Fusobacteriales,Enterobacterales,0.9187614484314267
Cytophagales,Enterobacterales,-0.3908059992704182
Burkholderiales,Flavobacteriales,0.36483425355795784
Pseudomonadales,Flavobacteriales,-0.05433010773469816
Campylobacterales,Flavobacteriales,0.7968575713281253
Mycobacteriales,Flavobacteriales,-0.7919347915338132
Bacteroidales,Flavobacteriales,0.8954159078819742
Enterobacterales,Flavobacteriales,0.8491111617769943
Flavobacteriales,Flavobacteriales,1.0
Lachnospirales,Flavobacteriales,0.7261480315530213
Oscillospirales,Flavobacteriales,0.7436037607403027
Rhizobiales,Flavobacteriales,-0.5965868103412343
Actinomycetales,Flavobacteriales,0.14239307529731016
Lactobacillales,Flavobacteriales,0.4500346122901825
Microtrichales,Flavobacteriales,-0.6718514132839941
Rhodobacterales,Flavobacteriales,-0.0432347081971397
Xanthomonadales,Flavobacteriales,-0.6570993547338669
Sphingomonadales,Flavobacteriales,-0.6536654131437873
Streptomycetales,Flavobacteriales,-0.799506670038114
Propionibacteriales,Flavobacteriales,-0.14569873041771725
Caulobacterales,Flavobacteriales,-0.7732376760955847
Desulfovibrionales,Flavobacteriales,0.8282510747100456
Coriobacteriales,Flavobacteriales,0.6545947547762929
Selenomonadales,Flavobacteriales,0.6277318876910519
Chitinophagales,Flavobacteriales,-0.5244393917871746
Veillonellales,Flavobacteriales,0.649766786768713
Verrucomicrobiales,Flavobacteriales,0.2186020890243283
Streptosporangiales,Flavobacteriales,-0.771459730387638
Nitrospirales,Flavobacteriales,-0.7962647252340632
Erysipelotrichales,Flavobacteriales,0.7109102115041285
Fusobacteriales,Flavobacteriales,0.8434468933359948
Cytophagales,Flavobacteriales,-0.39896310793506934
Burkholderiales,Lachnospirales,0.14057377039802574
Pseudomonadales,Lachnospirales,-0.19330552467866352
Campylobacterales,Lachnospirales,0.5661072729435428
Mycobacteriales,Lachnospirales,-0.6608789371795791
Bacteroidales,Lachnospirales,0.8583519157343484
Enterobacterales,Lachnospirales,0.5490585258141927
Flavobacteriales,Lachnospirales,0.7261480315530213
Lachnospirales,Lachnospirales,1.0
Oscillospirales,Lachnospirales,0.9930050481578514
Rhizobiales,Lachnospirales,-0.19008319582320066
Actinomycetales,Lachnospirales,0.6098514707410453
Lactobacillales,Lachnospirales,0.8085467914075226
Microtrichales,Lachnospirales,-0.2959891911497107
Rhodobacterales,Lachnospirales,0.47570579423448617
Xanthomonadales,Lachnospirales,-0.16222452390005365
Sphingomonadales,Lachnospirales,-0.7559253145490619
Streptomycetales,Lachnospirales,-0.6963715973311326
Propionibacteriales,Lachnospirales,-0.27772579209281967
Caulobacterales,Lachnospirales,-0.3405394212026992
Desulfovibrionales,Lachnospirales,0.6048696458061129
Coriobacteriales,Lachnospirales,0.9735022906130704
Selenomonadales,Lachnospirales,0.8634840902914352
Chitinophagales,Lachnospirales,-0.17610094015985356
Veillonellales,Lachnospirales,0.9188715649304208
Verrucomicrobiales,Lachnospirales,0.7223555659468662
Streptosporangiales,Lachnospirales,-0.6579026978072756
Nitrospirales,Lachnospirales,-0.6504091412115024
Erysipelotrichales,Lachnospirales,0.9910194247964911
Fusobacteriales,Lachnospirales,0.7179133386853764
Cytophagales,Lachnospirales,-0.10327227506884704
Burkholderiales,Oscillospirales,0.13483574062275058
Pseudomonadales,Oscillospirales,-0.21155270074184776
Campylobacterales,Oscillospirales,0.5577199884889356
Mycobacteriales,Oscillospirales,-0.6529387309194645
Bacteroidales,Oscillospirales,0.881315621344171
Enterobacterales,Oscillospirales,0.5461841136088669
Flavobacteriales,Oscillospirales,0.7436037607403027
Lachnospirales,Oscillospirales,0.9930050481578514
Oscillospirales,Oscillospirales,1.0
Rhizobiales,Oscillospirales,-0.19886270319356586
Actinomycetales,Oscillospirales,0.5822792293817312
Lactobacillales,Oscillospirales,0.763917621218951
Microtrichales,Oscillospirales,-0.2849488921237501
Rhodobacterales,Oscillospirales,0.45208531000318675
Xanthomonadales,Oscillospirales,-0.1805542876282899
Sphingomonadales,Oscillospirales,-0.7544544044931584
Streptomycetales,Oscillospirales,-0.6797558755603318
Propionibacteriales,Oscillospirales,-0.2986422996141678
Caulobacterales,Oscillospirales,-0.37308289449979537
Desulfovibrionales,Oscillospirales,0.5919804814283695
Coriobacteriales,Oscillospirales,0.966515450347789
Selenomonadales,Oscillospirales,0.8569846033726789
Chitinophagales,Oscillospirales,-0.1799011475631896
Veillonellales,Oscillospirales,0.8936521522154299
Verrucomicrobiales,Oscillospirales,0.6957838942521393
Streptosporangiales,Oscillospirales,-0.6390327962090702
Nitrospirales,Oscillospirales,-0.6436291836661816
Erysipelotrichales,Oscillospirales,0.9810483946247751
Fusobacteriales,Oscillospirales,0.6882267516544515
Cytophagales,Oscillospirales,-0.08701613006573976
Burkholderiales,Rhizobiales,-0.3087152019847736
Pseudomonadales,Rhizobiales,-0.24236068033609892
Campylobacterales,Rhizobiales,-0.6686201476592185
Mycobacteriales,Rhizobiales,0.4843560589629332
Bacteroidales,Rhizobiales,-0.4349921331486985
Enterobacterales,Rhizobiales,-0.645336456893734
Flavobacteriales,Rhizobiales,-0.5965868103412343
Lachnospirales,Rhizobiales,-0.19008319582320066
Oscillospirales,Rhizobiales,-0.19886270319356586
Rhizobiales,Rhizobiales,1.0
Actinomycetales,Rhizobiales,0.5533637846342204
Lactobacillales,Rhizobiales,-0.04741403910499272
Microtrichales,Rhizobiales,0.7114856530548879
Rhodobacterales,Rhizobiales,0.6971381273571295
Xanthomonadales,Rhizobiales,0.801150575252595
Sphingomonadales,Rhizobiales,0.2278184209192571
