nMDS_component_1,nMDS_component_2,cluster_number,timepoint
-0.27961700111697957,1.12088340989823,1,20-10-12
0.6248573740021486,-2.7877308955326567,0,20-10-16
-2.3214898234068295,-1.8202032409080546,3,20-10-19
-3.3351125952073115,-1.4552859088791648,3,20-11-25
-0.009263476741620435,6.589917299237966,4,20-11-02
-3.038881479780886,-0.9280519408561545,3,20-11-30
1.76696908337307,0.6071411832436998,1,20-12-04
-2.1744419807791298,-0.10651378543620472,3,20-12-11
3.927961855062066,-3.3182894218724663,0,20-12-18
-2.2597232818235558,1.195240231217803,3,20-12-21
7.097270105402999,5.21303471019219,2,20-12-24
0.001471221016027584,-4.310141640305185,0,20-12-28
