nMDS_component_1,nMDS_component_2,cluster_number,timepoint
3.159515360480791,2.8325335214550806,3,20-10-12
-0.7939031250825561,-2.848101523336471,1,20-10-16
-0.1063611811736608,-3.8315952749947435,1,20-10-19
2.010435762786398,-3.9750675660071915,1,20-11-25
-7.730421912036364,1.2678871195845782,2,20-11-02
1.4571887861157933,-2.822410358108198,1,20-11-30
-0.8022864690937414,1.2339592786574267,3,20-12-04
1.0294043871993495,-1.1950143477902402,1,20-12-11
3.499117570294307,0.6582301734646592,3,20-12-18
1.0969855071074812,1.1857366949723163,3,20-12-21
-4.162095104142859,7.229522936775453,0,20-12-24
1.342420417545061,0.26431934532732926,3,20-12-28
