nMDS_component_1,nMDS_component_2,cluster_number,timepoint
0.63795972798267,0.4264409565303538,1,20-10-12
-0.24515491757075836,-2.6954273166618217,3,20-10-16
2.2554176115972346,-1.770515503624954,1,20-10-19
2.9003823180428743,-1.2789633957911115,1,20-11-25
-3.5118974642970486,3.9497751946078865,2,20-11-02
3.417733358492012,-0.785874994916581,1,20-11-30
-2.984224244914815,-0.1059260844857807,0,20-12-04
2.800272544015633,0.744400918621036,1,20-12-11
-4.623682746272544,-3.799498759711526,0,20-12-18
2.7710613111440328,1.8389449730840641,1,20-12-21
-3.428438695344166,7.735363448413326,2,20-12-24
0.010571197124877026,-4.25871943606489,3,20-12-28
