gene,drug,timepoint,abundance
AAC(6')-Ib7,aminoglycoside,20-10-12,0.000130526074771
AAC(6')-Ib7,aminoglycoside,20-10-16,5.141043376189244e-05
AAC(6')-Ib7,aminoglycoside,20-10-19,2.218777951644028e-05
AAC(6')-Ib7,aminoglycoside,20-11-02,0.0001772575801443
AAC(6')-Ib7,aminoglycoside,20-11-25,6.183630151898802e-05
AAC(6')-Ib7,aminoglycoside,20-11-30,0.0001146078602424
AAC(6')-Ib7,aminoglycoside,20-12-04,8.418922775314354e-05
AAC(6')-Ib7,aminoglycoside,20-12-11,0.0001645412464803
AAC(6')-Ib7,aminoglycoside,20-12-18,0.0001412066075028
AAC(6')-Ib7,aminoglycoside,20-12-21,0.0001142939055009
AAC(6')-Ib7,aminoglycoside,20-12-24,0.000119941602176
AAC(6')-Ib7,aminoglycoside,20-12-28,4.021195293561578e-05
ADP-ribosylating_transferase_arr,rifamycin,20-10-12,0.0017827538162667003
ADP-ribosylating_transferase_arr,rifamycin,20-10-16,0.008535653990286916
ADP-ribosylating_transferase_arr,rifamycin,20-10-19,0.011522864787074281
ADP-ribosylating_transferase_arr,rifamycin,20-11-02,0.0120002072316793
ADP-ribosylating_transferase_arr,rifamycin,20-11-25,0.0227818397431476
ADP-ribosylating_transferase_arr,rifamycin,20-11-30,0.0023875288948752
ADP-ribosylating_transferase_arr,rifamycin,20-12-04,0.0182543170721928
ADP-ribosylating_transferase_arr,rifamycin,20-12-11,0.0225846541688457
ADP-ribosylating_transferase_arr,rifamycin,20-12-18,0.018901980824512297
ADP-ribosylating_transferase_arr,rifamycin,20-12-21,0.0130754094904942
ADP-ribosylating_transferase_arr,rifamycin,20-12-24,0.0175832855441195
ADP-ribosylating_transferase_arr,rifamycin,20-12-28,0.0188087640586451
AxyY,multidrug,20-10-12,0.0010026132907204
AxyY,multidrug,20-10-16,0.0009657887413204
AxyY,multidrug,20-10-19,0.0011281828311294
AxyY,multidrug,20-11-02,0.0006067880579703
AxyY,multidrug,20-11-25,0.0005834052080214
AxyY,multidrug,20-11-30,0.0005262903970979
AxyY,multidrug,20-12-04,0.0006045097768431
AxyY,multidrug,20-12-11,0.00057699549913
AxyY,multidrug,20-12-18,0.0004951681035569
AxyY,multidrug,20-12-21,0.0005248486865101
AxyY,multidrug,20-12-24,0.0005557905791084
AxyY,multidrug,20-12-28,0.000760451855659
LpeB,MLS,20-10-12,0.0001066927422348
LpeB,MLS,20-10-16,6.635238249071832e-05
LpeB,MLS,20-10-19,0.0002176369781927
LpeB,MLS,20-11-02,0.0001982723540137
LpeB,MLS,20-11-25,0.0001489757333147
LpeB,MLS,20-11-30,3.944467570905557e-05
LpeB,MLS,20-12-04,9.417028234062624e-05
LpeB,MLS,20-12-11,6.370907376038136e-05
LpeB,MLS,20-12-18,9.112347577771612e-05
LpeB,MLS,20-12-21,9.83415541584691e-06
LpeB,MLS,20-12-24,0.0001161011075251
LpeB,MLS,20-12-28,9.860842448940656e-05
MexJ,multidrug,20-10-12,0.0015178385397739
MexJ,multidrug,20-10-16,3.66019936022169e-05
MexJ,multidrug,20-10-19,0.0001895608119556
MexJ,multidrug,20-11-02,8.413312680765781e-05
MexJ,multidrug,20-11-25,0.0001467491938222
MexJ,multidrug,20-11-30,2.719860451405666e-05
MexJ,multidrug,20-12-04,0.0002197765891164
MexJ,multidrug,20-12-11,2.9286553381697047e-05
MexJ,multidrug,20-12-18,2.513324128108203e-05
MexJ,multidrug,20-12-21,8.137229141645066e-05
MexJ,multidrug,20-12-24,0.0001067415073713
MexJ,multidrug,20-12-28,5.725832428875725e-05
MexK,multidrug,20-10-12,0.0167378275797099
MexK,multidrug,20-10-16,0.0050018443654772
MexK,multidrug,20-10-19,0.0066460833603016
MexK,multidrug,20-11-02,0.0064803827927442
MexK,multidrug,20-11-25,0.0052161471731621
MexK,multidrug,20-11-30,0.0058044897118887
MexK,multidrug,20-12-04,0.0081981380298876
MexK,multidrug,20-12-11,0.0058299080532922
MexK,multidrug,20-12-18,0.0066077398012906
MexK,multidrug,20-12-21,0.006138822951667
MexK,multidrug,20-12-24,0.0087520545412423
MexK,multidrug,20-12-28,0.0066129458040161
MexL,multidrug,20-10-12,0.0039603122655095
MexL,multidrug,20-10-16,0.00025294898865
MexL,multidrug,20-10-19,0.0007368842830952
MexL,multidrug,20-11-02,0.0006541054365891
MexL,multidrug,20-11-25,0.0006338462831758
MexL,multidrug,20-11-30,9.39820324992756e-05
MexL,multidrug,20-12-04,0.0006213402160936
MexL,multidrug,20-12-11,0.00025299182264
MexL,multidrug,20-12-18,0.0003039588241317
MexL,multidrug,20-12-21,0.0003748983191393
MexL,multidrug,20-12-24,0.0006639021078196
MexL,multidrug,20-12-28,0.0005193571949571
Mrx,MLS,20-10-12,0.0015318641269131
Mrx,MLS,20-10-16,0.0011414859021708
Mrx,MLS,20-10-19,0.0007319281068571
Mrx,MLS,20-11-02,0.0007496607909253
Mrx,MLS,20-11-25,0.0006014940322089
Mrx,MLS,20-11-30,0.0015995150276934
Mrx,MLS,20-12-04,0.0007655172234599
Mrx,MLS,20-12-11,0.0005219104912573
Mrx,MLS,20-12-18,0.0007614215857358
Mrx,MLS,20-12-21,0.0007008919241294
Mrx,MLS,20-12-24,0.0005135998146449
Mrx,MLS,20-12-28,0.0002933622619733
MuxB,multidrug,20-10-12,0.0097232340456265
MuxB,multidrug,20-10-16,0.0013546944758521
MuxB,multidrug,20-10-19,0.0020435284977239
MuxB,multidrug,20-11-02,0.0023873177668103
MuxB,multidrug,20-11-25,0.0015570033238794
MuxB,multidrug,20-11-30,0.00299122124127
MuxB,multidrug,20-12-04,0.0028452303254197
MuxB,multidrug,20-12-11,0.0021162620566237
MuxB,multidrug,20-12-18,0.0034639576833834
MuxB,multidrug,20-12-21,0.0031933688003125
MuxB,multidrug,20-12-24,0.0031454800057266
MuxB,multidrug,20-12-28,0.0020384840969008
MuxC,multidrug,20-10-12,0.0051005444737267
MuxC,multidrug,20-10-16,0.0002857567407941
MuxC,multidrug,20-10-19,0.0005830015585959
MuxC,multidrug,20-11-02,0.0003209553034243
MuxC,multidrug,20-11-25,0.0005676377688136
MuxC,multidrug,20-11-30,0.0010617160180607
MuxC,multidrug,20-12-04,0.0010138970128573
MuxC,multidrug,20-12-11,0.0007171110544532
MuxC,multidrug,20-12-18,0.0012575830507162
MuxC,multidrug,20-12-21,0.0013860753670011
MuxC,multidrug,20-12-24,0.0013106251350608
MuxC,multidrug,20-12-28,0.0007924507909279
NPS-1,beta-lactam,20-10-12,0.0001965392620115
NPS-1,beta-lactam,20-10-16,0.0001032148172077
NPS-1,beta-lactam,20-10-19,4.454558033185712e-05
NPS-1,beta-lactam,20-11-02,2.965612132683724e-05
NPS-1,beta-lactam,20-11-25,2.069107407148769e-05
NPS-1,beta-lactam,20-11-30,0.0002684429319088
NPS-1,beta-lactam,20-12-04,0.0001971941809696
NPS-1,beta-lactam,20-12-11,0.0002064645908901
NPS-1,beta-lactam,20-12-18,0.0002126214434813
NPS-1,beta-lactam,20-12-21,0.0002294636263697
NPS-1,beta-lactam,20-12-24,0.0002408022970891
NPS-1,beta-lactam,20-12-28,0.000100915054302
OXA-10,beta-lactam,20-10-12,0.0004596482740592
OXA-10,beta-lactam,20-10-16,0.000271563178339
OXA-10,beta-lactam,20-10-19,0.000187522523655
OXA-10,beta-lactam,20-11-02,0.0002808960846642
OXA-10,beta-lactam,20-11-25,0.0001306541209514
OXA-10,beta-lactam,20-11-30,0.0006861067332255
OXA-10,beta-lactam,20-12-04,0.0003557673817955
OXA-10,beta-lactam,20-12-11,0.0002172873315416
OXA-10,beta-lactam,20-12-18,0.0003729448706225
OXA-10,beta-lactam,20-12-21,0.0003622379424345
OXA-10,beta-lactam,20-12-24,0.0001267124990731
OXA-10,beta-lactam,20-12-28,0.000106204956342
OXA-11,beta-lactam,20-10-12,0.0005336740260613
OXA-11,beta-lactam,20-10-16,0.0001513430746698
OXA-11,beta-lactam,20-10-19,0.0001741782242189
OXA-11,beta-lactam,20-11-02,0.0001449484581704
OXA-11,beta-lactam,20-11-25,0.0002831654856075
OXA-11,beta-lactam,20-11-30,0.0008247187346284
OXA-11,beta-lactam,20-12-04,0.0001652253009087
OXA-11,beta-lactam,20-12-11,0.0002825549120271
OXA-11,beta-lactam,20-12-18,0.0005888897282938
OXA-11,beta-lactam,20-12-21,3.7384523397320656e-05
OXA-11,beta-lactam,20-12-24,0.000117695504757
OXA-11,beta-lactam,20-12-28,0.0001775651404909
OXA-118,beta-lactam,20-10-12,4.2693922084904016e-05
OXA-118,beta-lactam,20-10-16,5.044769155661355e-05
OXA-118,beta-lactam,20-10-19,4.354455605473673e-05
OXA-118,beta-lactam,20-11-02,0.0002029278414386
OXA-118,beta-lactam,20-11-25,2.022610611482505e-05
OXA-118,beta-lactam,20-11-30,0.0001874360760519
OXA-118,beta-lactam,20-12-04,5.507510030293036e-05
OXA-118,beta-lactam,20-12-11,0.0001614599497298
OXA-118,beta-lactam,20-12-18,3.464057225257748e-05
OXA-118,beta-lactam,20-12-21,0.0001121535701919
OXA-118,beta-lactam,20-12-24,8.827162856778111e-05
OXA-118,beta-lactam,20-12-28,1.9729460054553057e-05
OXA-12,beta-lactam,20-10-12,0.0001290484210943
OXA-12,beta-lactam,20-10-16,0.0001016568577027
OXA-12,beta-lactam,20-10-19,0.0001096829855341
OXA-12,beta-lactam,20-11-02,0.0001460424087981
OXA-12,beta-lactam,20-11-25,0.000142651291806
OXA-12,beta-lactam,20-11-30,0.0004154715134826
OXA-12,beta-lactam,20-12-04,0.0008046160408407
OXA-12,beta-lactam,20-12-11,0.0002033481442351
OXA-12,beta-lactam,20-12-18,6.980402106745801e-05
OXA-12,beta-lactam,20-12-21,7.533334148743104e-05
OXA-12,beta-lactam,20-12-24,8.893782953810399e-05
OXA-12,beta-lactam,20-12-28,1.987836163987044e-05
OXA-129,beta-lactam,20-10-12,0.0004253461640548
OXA-129,beta-lactam,20-10-16,0.0003015567234093
OXA-129,beta-lactam,20-10-19,0.0001952193436558
OXA-129,beta-lactam,20-11-02,8.664456342878192e-05
OXA-129,beta-lactam,20-11-25,6.045190670886142e-05
OXA-129,beta-lactam,20-11-30,0.0002614313627918
OXA-129,beta-lactam,20-12-04,8.230439429598362e-05
OXA-129,beta-lactam,20-12-11,0.0001608574872308
OXA-129,beta-lactam,20-12-18,0.0002415792147017
OXA-129,beta-lactam,20-12-21,7.449005781406429e-05
OXA-129,beta-lactam,20-12-24,8.794225681939387e-05
OXA-129,beta-lactam,20-12-28,9.8279213331449e-05
OXA-161,beta-lactam,20-10-12,0.0009705906308758
OXA-161,beta-lactam,20-10-16,0.000341618606954
OXA-161,beta-lactam,20-10-19,0.0007582432478226
OXA-161,beta-lactam,20-11-02,0.0014583075313327
OXA-161,beta-lactam,20-11-25,0.0002934983876444
OXA-161,beta-lactam,20-11-30,0.0013417978226934
OXA-161,beta-lactam,20-12-04,0.0006127104908701
OXA-161,beta-lactam,20-12-11,0.0003123899027381
OXA-161,beta-lactam,20-12-18,0.0005361758139964
OXA-161,beta-lactam,20-12-21,0.000433985554221
