gene,drug,timepoint,abundance
AAC(6')-Ib7,aminoglycoside,20-10-12,164.63406703602868
AAC(6')-Ib7,aminoglycoside,20-10-16,103.89226123168848
AAC(6')-Ib7,aminoglycoside,20-10-19,35.977282217098576
AAC(6')-Ib7,aminoglycoside,20-11-02,303.0644666610903
AAC(6')-Ib7,aminoglycoside,20-11-25,104.85121403026676
AAC(6')-Ib7,aminoglycoside,20-11-30,256.57393742469554
AAC(6')-Ib7,aminoglycoside,20-12-04,104.04519390278516
AAC(6')-Ib7,aminoglycoside,20-12-11,235.63728870551597
AAC(6')-Ib7,aminoglycoside,20-12-18,218.18042976090152
AAC(6')-Ib7,aminoglycoside,20-12-21,176.31976223632702
AAC(6')-Ib7,aminoglycoside,20-12-24,143.48714365954345
AAC(6')-Ib7,aminoglycoside,20-12-28,41.53316350422777
ADP-ribosylating_transferase_arr,rifamycin,20-10-12,2248.608270883038
ADP-ribosylating_transferase_arr,rifamycin,20-10-16,17249.191054278243
ADP-ribosylating_transferase_arr,rifamycin,20-10-19,18684.220207203092
ADP-ribosylating_transferase_arr,rifamycin,20-11-02,20517.240512531265
ADP-ribosylating_transferase_arr,rifamycin,20-11-25,38629.47000765432
ADP-ribosylating_transferase_arr,rifamycin,20-11-30,5344.988449985603
ADP-ribosylating_transferase_arr,rifamycin,20-12-04,22559.584046883334
ADP-ribosylating_transferase_arr,rifamycin,20-12-11,32343.177097137977
ADP-ribosylating_transferase_arr,rifamycin,20-12-18,29205.731746940684
ADP-ribosylating_transferase_arr,rifamycin,20-12-21,20171.268821389993
ADP-ribosylating_transferase_arr,rifamycin,20-12-24,21035.031824672835
ADP-ribosylating_transferase_arr,rifamycin,20-12-28,19426.747917738005
AxyY,multidrug,20-10-12,1264.6078877745174
AxyY,multidrug,20-10-16,1951.7045250503616
AxyY,multidrug,20-10-19,1829.338175906888
AxyY,multidrug,20-11-02,1037.4501277480665
AxyY,multidrug,20-11-25,989.236788585111
AxyY,multidrug,20-11-30,1178.212376765412
AxyY,multidrug,20-12-04,747.0829537978187
AxyY,multidrug,20-12-11,826.3074330514651
AxyY,multidrug,20-12-18,765.0916026414787
AxyY,multidrug,20-12-21,809.6774295173589
AxyY,multidrug,20-12-24,664.8969266900641
AxyY,multidrug,20-12-28,785.4373874542346
LpeB,MLS,20-10-12,134.57280553454038
LpeB,MLS,20-10-16,134.08754897882946
LpeB,MLS,20-10-19,352.89637611175715
LpeB,MLS,20-11-02,338.9942769943098
LpeB,MLS,20-11-25,252.6070627671714
LpeB,MLS,20-11-30,88.30525005618422
LpeB,MLS,20-12-04,116.3802727201597
LpeB,MLS,20-12-11,91.23690094706184
LpeB,MLS,20-12-18,140.79623792452264
LpeB,MLS,20-12-21,15.171027161220913
LpeB,MLS,20-12-24,138.8927277295581
LpeB,MLS,20-12-28,101.8483191744068
MexJ,multidrug,20-10-12,1914.4675295367176
MexJ,multidrug,20-10-16,73.96677294212603
MexJ,multidrug,20-10-19,307.3711285069509
MexJ,multidrug,20-11-02,143.84581569783631
MexJ,multidrug,20-11-25,248.83168547037943
MexJ,multidrug,20-11-30,60.889829352599854
MexJ,multidrug,20-12-04,271.61073263390114
MexJ,multidrug,20-12-11,41.94087611470461
MexJ,multidrug,20-12-18,38.83374497103002
MexJ,multidrug,20-12-21,125.53200463564588
MexJ,multidrug,20-12-24,127.69575964266436
MexJ,multidrug,20-12-28,59.13961325058519
MexK,multidrug,20-10-12,21111.61798613438
MexK,multidrug,20-10-16,10107.927193635094
MexK,multidrug,20-10-19,10776.563581532202
MexK,multidrug,20-11-02,11079.773024335878
MexK,multidrug,20-11-25,8844.632525421222
MexK,multidrug,20-11-30,12994.57800686673
MexK,multidrug,20-12-04,10131.662728425596
MexK,multidrug,20-12-11,8348.932297921314
MexK,multidrug,20-12-18,10209.717059907918
MexK,multidrug,20-12-21,9470.284513461356
MexK,multidrug,20-12-24,10470.156180104494
MexK,multidrug,20-12-28,6830.221843802477
MexL,multidrug,20-10-12,4995.188249913183
MexL,multidrug,20-10-16,511.1694355437066
MexL,multidrug,20-10-19,1194.8511474354711
MexL,multidrug,20-11-02,1118.3505671155726
MexL,multidrug,20-11-25,1074.7659654119675
MexL,multidrug,20-11-30,210.39865917142484
MexL,multidrug,20-12-04,767.8828395078791
MexL,multidrug,20-12-11,362.3061598641149
MexL,multidrug,20-12-18,469.651300682504
MexL,multidrug,20-12-21,578.3508945967784
MexL,multidrug,20-12-24,794.2316543408532
MexL,multidrug,20-12-28,536.4212807517869
Mrx,MLS,20-10-12,1932.1581668853053
Mrx,MLS,20-10-16,2306.760376500202
Mrx,MLS,20-10-19,1186.8147528468548
Mrx,MLS,20-11-02,1281.7254280097766
Mrx,MLS,20-11-25,1019.9086614146692
Mrx,MLS,20-11-30,3580.8527247359443
Mrx,MLS,20-12-04,946.0638858020804
Mrx,MLS,20-12-11,747.4209399618061
Mrx,MLS,20-12-18,1176.4838185896554
Mrx,MLS,20-12-21,1081.257105303965
Mrx,MLS,20-12-24,614.4237616510959
Mrx,MLS,20-12-28,303.00102091583113
MuxB,multidrug,20-10-12,12264.028995607565
MuxB,multidrug,20-10-16,2737.6207916511016
MuxB,multidrug,20-10-19,3313.5628297920466
MuxB,multidrug,20-11-02,4081.6939121002906
MuxB,multidrug,20-11-25,2640.094649059674
MuxB,multidrug,20-11-30,6696.481462593969
MuxB,multidrug,20-12-04,3516.275761245851
MuxB,multidrug,20-12-11,3030.670205070225
MuxB,multidrug,20-12-18,5352.212544436368
MuxB,multidrug,20-12-21,4926.369653185346
MuxB,multidrug,20-12-24,3762.964086450805
MuxB,multidrug,20-12-28,2105.460867143439
MuxC,multidrug,20-10-12,6433.376490336205
MuxC,multidrug,20-10-16,577.4686535578132
MuxC,multidrug,20-10-19,945.3317124893944
MuxC,multidrug,20-11-02,548.7502863072715
MuxC,multidrug,20-11-25,962.501115485811
MuxC,multidrug,20-11-30,2376.875884467928
MuxC,multidrug,20-12-04,1253.0238620256346
MuxC,multidrug,20-12-11,1026.9650205444352
MuxC,multidrug,20-12-18,1943.110278743304
MuxC,multidrug,20-12-21,2138.280935278736
MuxC,multidrug,20-12-24,1567.9118306442786
MuxC,multidrug,20-12-28,818.4876850264211
NPS-1,beta-lactam,20-10-12,247.89727335310067
