gene,drug,timepoint,abundance
AAC(6')-Ib7,aminoglycoside,20-09-21,867.2244597462026
AAC(6')-Ib7,aminoglycoside,20-09-28,542.1456072599033
AAC(6')-Ib7,aminoglycoside,20-10-12,269.9727169698504
AAC(6')-Ib7,aminoglycoside,20-10-16,157.53867825303416
AAC(6')-Ib7,aminoglycoside,20-10-19,54.66612266582611
AAC(6')-Ib7,aminoglycoside,20-11-02,447.3131868856301
AAC(6')-Ib7,aminoglycoside,20-11-25,144.41750586421657
AAC(6')-Ib7,aminoglycoside,20-11-30,399.75289667785177
AAC(6')-Ib7,aminoglycoside,20-12-04,147.7525271209151
AAC(6')-Ib7,aminoglycoside,20-12-11,326.8982847148757
AAC(6')-Ib7,aminoglycoside,20-12-18,319.496909898553
AAC(6')-Ib7,aminoglycoside,20-12-21,260.35165153366
AAC(6')-Ib7,aminoglycoside,20-12-24,207.2299493416197
AAC(6')-Ib7,aminoglycoside,20-12-28,55.93869973921172
AAC(6')-Ib7,aminoglycoside,21-03-26,155.69102599061577
AAC(6')-Ib7,aminoglycoside,21-03-29,294.3433629905381
AAC(6')-Ib7,aminoglycoside,21-04-09,50.72865966496629
AAC(6')-Ib7,aminoglycoside,21-05-21,522.1265468791277
AAC(6')-Ib7,aminoglycoside,21-08-02,779.6929189473854
AAC(6')-Ib7,aminoglycoside,21-08-06,732.6245343219398
ADP-ribosylating_transferase_arr,rifamycin,20-09-21,894.6890500324973
ADP-ribosylating_transferase_arr,rifamycin,20-09-28,1627.8323797799906
ADP-ribosylating_transferase_arr,rifamycin,20-10-12,3375.060381410325
ADP-ribosylating_transferase_arr,rifamycin,20-10-16,25882.739204738995
ADP-ribosylating_transferase_arr,rifamycin,20-10-19,28295.116371239434
ADP-ribosylating_transferase_arr,rifamycin,20-11-02,29765.35043579166
ADP-ribosylating_transferase_arr,rifamycin,20-11-25,52955.97461450957
ADP-ribosylating_transferase_arr,rifamycin,20-11-30,6246.881995496722
ADP-ribosylating_transferase_arr,rifamycin,20-12-04,31609.144699903347
ADP-ribosylating_transferase_arr,rifamycin,20-12-11,44444.10684720745
ADP-ribosylating_transferase_arr,rifamycin,20-12-18,41797.87391109036
ADP-ribosylating_transferase_arr,rifamycin,20-12-21,28730.603608930483
ADP-ribosylating_transferase_arr,rifamycin,20-12-24,29660.516552311245
ADP-ribosylating_transferase_arr,rifamycin,20-12-28,25970.684059524887
ADP-ribosylating_transferase_arr,rifamycin,21-03-26,36741.856261622044
ADP-ribosylating_transferase_arr,rifamycin,21-03-29,1870.8010735222203
ADP-ribosylating_transferase_arr,rifamycin,21-04-09,37422.45097847674
ADP-ribosylating_transferase_arr,rifamycin,21-05-21,1154.791723868711
ADP-ribosylating_transferase_arr,rifamycin,21-08-02,1115.3601607013825
ADP-ribosylating_transferase_arr,rifamycin,21-08-06,1006.353494006503
AxyY,multidrug,20-09-21,580.1069341912681
AxyY,multidrug,20-09-28,501.8531329985055
AxyY,multidrug,20-10-12,2073.7483651501834
AxyY,multidrug,20-10-16,2959.498114409293
AxyY,multidrug,20-10-19,2779.610325147826
AxyY,multidrug,20-11-02,1531.2422732713317
AxyY,multidrug,20-11-25,1362.5317650146576
AxyY,multidrug,20-11-30,1835.7040284027544
AxyY,multidrug,20-12-04,1060.9177632531737
AxyY,multidrug,20-12-11,1146.331652327117
AxyY,multidrug,20-12-18,1120.3773092809677
AxyY,multidrug,20-12-21,1195.5600059273552
AxyY,multidrug,20-12-24,960.2710941289008
AxyY,multidrug,20-12-28,1057.861777764194
AxyY,multidrug,21-03-26,1247.9097150146488
AxyY,multidrug,21-03-29,658.7823112833933
AxyY,multidrug,21-04-09,711.5591726619364
AxyY,multidrug,21-05-21,503.986161791922
AxyY,multidrug,21-08-02,381.2920575131027
AxyY,multidrug,21-08-06,370.1765753791908
LpeB,MLS,20-09-21,18.435116304544025
LpeB,MLS,20-09-28,21.29567452805017
