timepoint,MLS,aminoglycoside,aminoglycoside:aminocoumarin,bacitracin,betalactam,fluoroquinolone,fosmidomycin,glycopeptide,multidrug,nitroimidazole,peptide,phenicol,pleuromutilin,rifamycin,sulfonamide,tetracycline,triclosan
20-10-12,58828.69305273,14489.40698256,204.05517916,67366.32185411,7434.10495721,9444.85703271,9153.89612553,579.18365125,232576.33817808,4365.20310162,8170.10832111,319.51204121,44.30829539,10655.88640572,30131.17470293,12477.20487418,8554.18308050
20-10-16,23753.02635532,15694.18552248,59.43181756,61298.44484812,5010.37181439,14678.77635583,8409.12778782,4566.79045398,263738.50571463,2941.41623309,9636.96968991,7460.23392874,41.94109775,65549.87877578,34440.13879752,45039.10640882,1357.13913279
20-10-19,23822.67256639,27280.66784504,82.32356280,41113.65919768,4317.61286119,17876.30564356,7890.02819000,3976.33299501,278605.14889929,1794.66778977,5185.46357810,442.20965649,29.04791353,80004.79026801,18476.94021604,40102.34734592,1428.77056941
20-11-25,27292.49108415,33499.06722766,259.91501819,30712.97999650,3991.94833841,35021.87516595,7942.83099775,7841.40411282,253888.59512544,2073.28438309,5524.33429290,2147.93968495,42.32822508,105492.97783426,20268.00798625,65160.80800796,415.83907842
20-11-02,28561.02019892,38019.88045755,115.57917069,41126.13791015,5913.21583904,20080.25229577,9266.54049650,4312.07249003,261650.36406908,2837.43890313,3182.99243599,5032.11732545,122.34651813,74462.64317219,31909.75698815,46953.68422529,452.30259109
20-11-30,43307.36014246,23700.07763613,538.17036947,83390.23940733,19863.58983373,19415.58158560,9639.04746550,1985.27553652,222992.03806451,5496.16874760,8912.14515763,497.94349337,138.10451280,11248.66332021,34942.70731381,19555.44974267,476.84476035
20-12-04,75940.76041136,34952.06050866,119.03860612,38048.19108863,4825.43946874,30072.30792843,6973.72378971,4316.53252305,239526.45899660,2618.44096903,3677.50646109,2759.63820470,42.00283637,82683.24148718,21587.42407892,58699.17328198,1295.90269858
20-12-11,23980.25531112,33576.93879250,269.59375389,34645.49474730,4964.74439611,41367.04442213,7896.22646221,7702.52441429,256829.91714108,2462.06611346,4819.78736684,1829.24354491,95.12630145,97520.46488137,19882.54685864,68146.51909143,343.64155413
20-12-18,24350.14408846,26214.43134222,31.20265971,48578.09555528,6884.23908873,33879.45834029,9792.81537282,6166.27733533,254479.80869723,3652.37033319,3008.40983566,1164.43703439,154.13825431,85577.35923439,22958.92133115,51850.94430021,171.70135759
20-12-21,35961.33054302,26865.99290289,33.62138115,44387.92000155,4377.80326474,34243.55728231,8266.36891300,2868.37538917,264299.75820985,2878.98214405,2883.86290889,836.46675681,118.63322472,81903.57170131,19708.24084279,55522.46094773,124.38666826
20-12-24,16883.12750898,36900.85074412,20.52054129,33141.08805151,2481.83363741,37626.39902452,7883.13239899,2478.98776466,272421.85274741,2144.06218180,2150.74483550,2622.27183653,72.40684060,95812.70968763,22277.69366457,67150.03557473,170.33762074
20-12-28,44137.37453673,35866.77971320,11.87957297,27002.57037190,1634.60904744,47819.91779439,4609.62629190,2238.59567723,285475.23393735,886.58699796,1175.06672280,1195.64235382,16.76685491,117116.95819255,12637.19943938,85515.07671095,64.81630654
20-09-21,105219.05372378,44554.15950816,2685.58232118,32074.59750705,46231.26471331,21453.27080528,8314.44837166,224.10111670,150239.36919593,3762.78809635,23254.47503215,307.87749982,166.07583398,1613.34249455,21774.38708511,37445.96295754,1324.92961757
20-09-28,100982.01946520,37963.73941831,2577.98305176,35550.83178789,35925.85829031,22319.37770788,8495.57551640,284.00049323,162642.80789334,3780.99663903,21317.63951588,393.80718800,201.73527845,2570.45986275,19178.11688255,34088.63250381,1149.14610283
21-03-26,34400.59042930,28585.94099438,80.92084032,41963.45153958,4450.71888979,35357.30353142,8805.83516763,3036.91189297,263218.86623695,2622.29326889,2828.11587153,640.57336807,28.55296215,79931.90613266,17463.95790246,60019.05532117,241.82787015
21-03-29,126420.67174401,29524.94644406,2472.69518211,46168.43804212,22582.74369157,20691.28852983,6232.77404748,328.72743057,188675.70045259,2904.20861810,14009.41986459,413.92338940,266.91361859,3071.26091028,12396.70295275,38458.87290970,514.73459588
21-04-09,20881.99105955,22398.48991937,159.71954526,42132.94558503,1947.09794728,30572.72680840,7369.48465474,3825.84498531,274380.16063978,1490.00802189,2707.60229505,3183.44715850,28.17856384,105924.43078552,12878.50504102,64278.00024934,521.38189814
21-05-21,114714.48564925,33529.36973322,2589.96303887,28378.56656603,27112.31018346,18883.27572301,7393.77397122,258.60903991,179487.95925203,3294.20113055,21146.49611326,412.07417918,189.89503481,2552.27425379,19064.62688323,37048.67705919,1090.34396687
21-08-02,98074.35956558,44315.68852928,2513.27801392,32448.75415733,45629.11436682,25885.55279255,8928.36679747,395.25352707,155658.69077099,4040.34999473,24731.19284205,282.33537659,199.67941118,3566.16814048,21241.09787817,34247.05987392,1032.33920675
21-08-06,99330.35928218,44040.60424014,2833.59044200,30583.66091340,42769.28054865,24021.13489810,8373.05384583,333.76679611,152872.42347915,3989.07321613,22628.49515118,410.16396561,187.96877613,3586.62457711,20718.76800060,34989.25028396,1316.32314205
