timepoint,abundance,is_anomaly,ARG
20-09-21,0.0002311441627528,normal,OXA-3
20-09-28,0.0002381032818332,normal,OXA-3
20-10-12,0.0005162716121679,normal,OXA-3
20-10-16,0.0001952106325451,normal,OXA-3
20-10-19,0.0004633708736694,normal,OXA-3
20-11-02,0.0005047987608459,normal,OXA-3
20-11-25,0.0003521980651733,normal,OXA-3
20-11-30,0.001124208986581,normal,OXA-3
20-12-04,0.0005327917311913,normal,OXA-3
20-12-11,0.0005076335919494,normal,OXA-3
20-12-18,0.0008377747093694,normal,OXA-3
20-12-21,0.0004701510170728,normal,OXA-3
20-12-24,0.0004838948334168,normal,OXA-3
20-12-28,9.543054048126208e-05,normal,OXA-3
21-03-26,0.0006154530284414,normal,OXA-3
21-03-29,0.0002876511035897,normal,OXA-3
21-04-09,0.0001776912153533,normal,OXA-3
21-05-21,0.0001283515926849,normal,OXA-3
21-08-02,0.0002078405103912,normal,OXA-3
21-08-06,0.0001783593428814,normal,OXA-3
20-09-21,0.0004057908243182,normal,OXA-9
20-09-28,0.0004525930150548,normal,OXA-9
20-10-12,0.0003454326423233,normal,OXA-9
20-10-16,0.0001020419215576,normal,OXA-9
20-10-19,0.0001100984513883,normal,OXA-9
20-11-02,8.795735984436954e-05,normal,OXA-9
20-11-25,0.0002454713787571,normal,OXA-9
20-11-30,0.0004928716818001,normal,OXA-9
20-12-04,8.355143057319549e-05,normal,OXA-9
20-12-11,0.0003265894437716,normal,OXA-9
20-12-18,0.0003153079360717,normal,OXA-9
20-12-21,0.0003402841277415,normal,OXA-9
20-12-24,8.927471525605135e-05,normal,OXA-9
20-12-28,0.0001197219507855,normal,OXA-9
21-03-26,0.000166814709729,normal,OXA-9
21-03-29,0.0005438664482764,normal,OXA-9
21-04-09,6.192269625948862e-05,normal,OXA-9
21-05-21,0.0002993374556673,normal,OXA-9
21-08-02,0.000188316098809,normal,OXA-9
21-08-06,0.0002973386096929,normal,OXA-9
20-09-21,0.006798464449415,normal,ant(2'')-I
20-09-28,0.0057950009647626,normal,ant(2'')-I
20-10-12,0.0037845600292942,normal,ant(2'')-I
20-10-16,0.0016163440374738,normal,ant(2'')-I
20-10-19,0.0019997401922577,normal,ant(2'')-I
20-11-02,0.0036533968984957,normal,ant(2'')-I
20-11-25,0.0020953436890714,normal,ant(2'')-I
20-11-30,0.0039235618927797,normal,ant(2'')-I
20-12-04,0.0040585942915235,normal,ant(2'')-I
20-12-11,0.0023279295552043,normal,ant(2'')-I
20-12-18,0.0029226943620944,normal,ant(2'')-I
20-12-21,0.0017967001944752,normal,ant(2'')-I
20-12-24,0.0038966627714961,normal,ant(2'')-I
20-12-28,0.0025495986639297,normal,ant(2'')-I
21-03-26,0.002390693097146,normal,ant(2'')-I
21-03-29,0.0053378252448256,normal,ant(2'')-I
21-04-09,0.0011770266105003,normal,ant(2'')-I
21-05-21,0.0033899037876019,normal,ant(2'')-I
21-08-02,0.0057975863330582,normal,ant(2'')-I
21-08-06,0.0056890652930923,normal,ant(2'')-I
20-09-21,0.0051543698790689,normal,aph(3'')-I
20-09-28,0.0045904992086484,normal,aph(3'')-I
20-10-12,0.0017906036077039002,normal,aph(3'')-I
20-10-16,0.0011142888682075,normal,aph(3'')-I
20-10-19,0.0052111396612738,normal,aph(3'')-I
20-11-02,0.0073168868319898,normal,aph(3'')-I
20-11-25,0.0040163657042667,normal,aph(3'')-I
20-11-30,0.001343593240829,normal,aph(3'')-I
20-12-04,0.0059058421467995,normal,aph(3'')-I
20-12-11,0.0030062695022099,normal,aph(3'')-I
20-12-18,0.0034982690463429,normal,aph(3'')-I
20-12-21,0.0026389465603639996,normal,aph(3'')-I
20-12-24,0.010286384137078101,normal,aph(3'')-I
20-12-28,0.0084697505459838,normal,aph(3'')-I
21-03-26,0.0028295952728564,normal,aph(3'')-I
21-03-29,0.0050830823418458,normal,aph(3'')-I
21-04-09,0.00321060276041,normal,aph(3'')-I
21-05-21,0.0039580495625546,normal,aph(3'')-I
21-08-02,0.004315002031315,normal,aph(3'')-I
21-08-06,0.0047405357951904,normal,aph(3'')-I
20-09-21,0.00042791172416399104,normal,emrA
20-09-28,0.00048129968199436227,normal,emrA
20-10-12,0.000539351990123676,normal,emrA
20-10-16,0.0009990191194957276,normal,emrA
20-10-19,0.0007879782771489705,normal,emrA
20-11-02,0.0002573483878821919,normal,emrA
20-11-25,0.00013811688830322812,normal,emrA
