timepoint,abundance,is_anomaly,ARG
20-10-12,0.000130526074771,normal,AAC(6')-Ib7
20-10-16,5.141043376189244e-05,normal,AAC(6')-Ib7
20-10-19,2.218777951644028e-05,normal,AAC(6')-Ib7
20-11-02,0.0001772575801443,normal,AAC(6')-Ib7
20-11-25,6.183630151898802e-05,normal,AAC(6')-Ib7
20-11-30,0.0001146078602424,normal,AAC(6')-Ib7
20-12-04,8.418922775314354e-05,normal,AAC(6')-Ib7
20-12-11,0.0001645412464803,normal,AAC(6')-Ib7
20-12-18,0.0001412066075028,normal,AAC(6')-Ib7
20-12-21,0.0001142939055009,normal,AAC(6')-Ib7
20-12-24,0.000119941602176,normal,AAC(6')-Ib7
20-12-28,4.021195293561578e-05,normal,AAC(6')-Ib7
20-10-12,0.0017827538162667003,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-10-16,0.008535653990286916,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-10-19,0.011522864787074281,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-11-02,0.0120002072316793,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-11-25,0.0227818397431476,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-11-30,0.0023875288948752,anomaly,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-12-04,0.0182543170721928,anomaly,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-12-11,0.0225846541688457,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-12-18,0.018901980824512297,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-12-21,0.0130754094904942,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-12-24,0.0175832855441195,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-12-28,0.0188087640586451,normal,ADP-ribosylating_transferase_arrADP-ribosylating_transferase_arrADP-ribosylating_transferase_arr
20-10-12,0.0010026132907204,anomaly,AxyY
20-10-16,0.0009657887413204,normal,AxyY
20-10-19,0.0011281828311294,normal,AxyY
20-11-02,0.0006067880579703,anomaly,AxyY
20-11-25,0.0005834052080214,normal,AxyY
20-11-30,0.0005262903970979,normal,AxyY
20-12-04,0.0006045097768431,normal,AxyY
20-12-11,0.00057699549913,normal,AxyY
20-12-18,0.0004951681035569,normal,AxyY
20-12-21,0.0005248486865101,normal,AxyY
20-12-24,0.0005557905791084,normal,AxyY
20-12-28,0.000760451855659,normal,AxyY
20-10-12,0.0001066927422348,normal,LpeB
20-10-16,6.635238249071832e-05,normal,LpeB
20-10-19,0.0002176369781927,normal,LpeB
20-11-02,0.0001982723540137,normal,LpeB
20-11-25,0.0001489757333147,normal,LpeB
20-11-30,3.944467570905557e-05,normal,LpeB
20-12-04,9.417028234062624e-05,normal,LpeB
20-12-11,6.370907376038136e-05,normal,LpeB
20-12-18,9.112347577771612e-05,normal,LpeB
20-12-21,9.83415541584691e-06,normal,LpeB
20-12-24,0.0001161011075251,normal,LpeB
20-12-28,9.860842448940656e-05,normal,LpeB
20-10-12,0.0015178385397739,anomaly,MexJ
20-10-16,3.66019936022169e-05,anomaly,MexJ
20-10-19,0.0001895608119556,normal,MexJ
20-11-02,8.413312680765781e-05,normal,MexJ
20-11-25,0.0001467491938222,normal,MexJ
20-11-30,2.719860451405666e-05,normal,MexJ
20-12-04,0.0002197765891164,normal,MexJ
20-12-11,2.9286553381697047e-05,normal,MexJ
20-12-18,2.513324128108203e-05,normal,MexJ
20-12-21,8.137229141645066e-05,normal,MexJ
20-12-24,0.0001067415073713,normal,MexJ
20-12-28,5.725832428875725e-05,normal,MexJ
20-10-12,0.0167378275797099,anomaly,MexK
20-10-16,0.0050018443654772,anomaly,MexK
